Comment,Designator,Footprint,LCSC
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1uF,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
8MHz,Y1,Crystal_SMD_HC49-SD_HandSoldering,
100nF,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
70R,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
AP2112K-3.3TRG1,IC2,SOT95P282X130-5N,
MountingHole_Pad,H2,Hole_1.8mm_1.2mm,
10K,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10K,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
39R,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
D2F-FL,S3,D2FFL,
10nF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1uF,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
D2F-FL,S2,D2FFL,
70R,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1uF,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Conn_01x04_Pin,J1,PinHeader_1x04_P2.54mm_Horizontal,
10K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10K,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10K,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
ADP150AUJZ-2.0-R7,IC1,SOT95P280X100-5N,
SW_Push,SW1,1478731,
PMW3360DM-T2QU,U2,PMW3360,
4.7uF,C20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10K,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1uF,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
MountingHole_Pad,H1,Hole_1.8mm_1.2mm,
4.7uF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100nF,C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
20pF,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100nF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
SW_Push,SW5,1478731,
100nF,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
STM32F103RETx,U1,LQFP-64_10x10mm_P0.5mm,
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Horizontal,
D2F-FL,S1,D2FFL,
MountingHole_Pad,H3,Hole_1.8mm_1.2mm,
20pF,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
